Latitude,Longitude,Altitude,eOrw,nOrs,Date,Course,Speed,BrdTemp,Pressure,relHumidity
-71.8978,-94.3569,1212.5,E,N,2023-06-01 22:00:00,80.0,3.9,47.2,1075.46,993.33
68.5054,43.8827,1491.8,W,N,2023-06-01 21:00:00,262.8,0.6,35.1,902.0,957.8
-4.4253,-160.9245,2271.0,W,S,2023-06-01 15:00:00,241.2,27.4,43.3,1031.32,1089.2
78.2459,88.9578,431.8,E,S,2023-06-01 03:00:00,351.8,21.7,-33.3,947.21,914.52
18.7375,82.1298,2469.5,E,S,2023-06-01 15:00:00,59.4,22.1,44.4,1098.18,1034.57
-17.1567,18.7806,1880.7,E,S,2023-06-01 06:00:00,351.4,23.8,42.8,943.81,1074.44
-7.9182,-66.6277,3026.0,E,S,2023-06-01 23:00:00,199.5,13.9,37.6,1041.78,1033.71
-62.7569,-13.4332,317.9,E,S,2023-06-01 23:00:00,51.5,16.2,35.0,1006.27,987.81
-61.4656,168.1046,3493.2,W,S,2023-06-01 05:00:00,159.2,5.6,-12.2,1076.05,910.33
29.563,-100.1624,3915.2,W,N,2023-06-01 05:00:00,142.2,14.8,-39.7,1051.81,1081.68
83.6766,29.5998,2024.2,E,N,2023-06-01 08:00:00,57.7,26.3,7.6,990.74,957.02
67.1392,-78.0236,2404.2,E,S,2023-06-01 08:00:00,336.9,1.3,14.2,1032.03,970.12
-49.0853,53.303,1209.8,W,S,2023-06-01 12:00:00,162.1,21.2,-4.5,932.2,1050.04
84.9397,-24.7069,4376.8,E,N,2023-06-01 16:00:00,319.3,27.4,43.9,1058.51,915.79
-72.4869,109.7835,2086.8,E,S,2023-06-01 18:00:00,88.4,8.4,-14.6,1090.38,1003.53
-36.5043,-109.8968,432.9,E,S,2023-06-01 21:00:00,147.5,24.6,-23.1,1073.51,984.48
-11.0289,-134.0146,3629.5,W,S,2023-06-01 16:00:00,64.5,26.8,9.5,930.23,1027.19
55.1377,160.4608,3118.4,E,S,2023-06-01 17:00:00,178.8,26.4,-20.9,1062.31,1018.34
37.5794,146.1388,2460.3,W,N,2023-06-01 01:00:00,181.9,24.5,-40.4,1066.9,1059.32
1.0776,166.8138,807.9,W,S,2023-06-01 01:00:00,237.8,26.6,-42.1,1078.45,947.87
15.1216,-41.4652,1596.1,W,S,2023-06-01 17:00:00,241.4,15.7,19.5,1087.56,930.88
79.1384,11.5952,1208.7,E,N,2023-06-01 04:00:00,229.1,7.7,9.4,918.78,1009.75
-43.9601,32.5148,2274.8,E,N,2023-06-01 03:00:00,91.5,18.9,-2.6,1031.55,933.54
68.7562,63.5063,4341.6,W,N,2023-06-01 19:00:00,62.5,22.5,-34.0,981.43,1080.94
-42.8034,-95.6795,169.0,E,S,2023-06-01 19:00:00,209.6,2.8,-31.1,974.52,1025.17
38.0892,-174.5041,2748.3,W,S,2023-06-01 17:00:00,66.5,19.1,-44.8,906.77,931.03
-69.4995,-129.1979,2334.3,E,S,2023-06-01 21:00:00,215.0,19.3,-40.9,998.79,1017.01
84.4395,-50.6186,93.6,E,N,2023-06-01 04:00:00,200.9,17.4,-12.4,998.5,964.81
84.2098,-23.907,2190.9,W,N,2023-06-01 12:00:00,46.2,0.1,-43.4,1067.91,1068.16
-8.9201,-49.6991,4461.3,E,N,2023-06-01 08:00:00,306.0,24.5,44.4,906.7,1091.09
-37.6815,113.4125,312.5,W,S,2023-06-01 01:00:00,254.1,25.3,-11.6,963.11,1052.89
-20.8464,148.9897,1288.6,E,S,2023-06-01 15:00:00,52.8,27.9,-37.6,1094.7,1032.36
54.9604,48.0269,4280.1,W,N,2023-06-01 02:00:00,119.9,14.3,-14.7,1041.87,937.83
-62.592,-170.1775,4495.9,E,S,2023-06-01 17:00:00,110.3,5.9,-7.5,919.96,1074.11
55.65,88.6033,4514.8,E,S,2023-06-01 11:00:00,272.5,8.3,25.9,1011.17,1097.42
-52.5998,-76.6646,2674.8,E,N,2023-06-01 17:00:00,79.3,21.9,-21.1,947.66,993.7
16.3608,-15.1826,3299.8,E,N,2023-06-01 09:00:00,319.4,3.5,-20.0,963.88,1025.27
9.6639,-98.1255,2643.1,W,N,2023-06-01 02:00:00,234.5,7.7,24.2,942.03,1057.47
-62.5644,3.837,1974.7,W,S,2023-06-01 19:00:00,286.3,26.0,-46.7,923.43,907.25
89.6974,161.2113,2922.4,W,N,2023-06-01 02:00:00,152.5,29.3,34.6,906.36,1040.99
-11.1006,-140.0074,4594.0,W,N,2023-06-01 01:00:00,44.1,23.7,-14.0,935.88,1078.1
-74.1249,-160.7864,3881.7,E,S,2023-06-01 06:00:00,350.6,8.6,-0.4,984.25,929.27
-65.2468,31.0785,356.3,E,S,2023-06-01 22:00:00,46.9,12.7,-44.8,1038.22,915.6
-37.9086,29.0758,1782.0,W,S,2023-06-01 02:00:00,40.1,4.0,49.9,939.05,901.16
-88.1008,36.1013,611.7,E,S,2023-06-01 16:00:00,180.1,1.6,36.7,924.08,1035.2
-71.8036,66.99,2352.9,E,S,2023-06-01 06:00:00,49.9,2.8,23.4,1087.87,976.4
-1.7286,-172.9925,589.1,W,N,2023-06-01 18:00:00,18.7,3.2,-2.5,1098.53,1073.04
-7.7436,-161.8996,545.1,W,S,2023-06-01 02:00:00,25.5,8.7,5.0,1009.14,909.66
-49.8278,-54.8311,4375.5,W,S,2023-06-01 16:00:00,161.4,23.7,3.6,999.69,950.28
13.1522,-142.4419,3665.1,E,S,2023-06-01 20:00:00,15.0,18.6,-33.0,1075.35,995.95
-28.4048,-93.0095,4166.5,E,S,2023-06-01 22:00:00,91.1,14.2,46.3,1029.83,1059.71
9.9485,-157.5895,2656.1,W,N,2023-06-01 10:00:00,92.9,19.5,9.7,1039.11,1086.86
57.3644,-52.5447,4632.0,E,S,2023-06-01 22:00:00,169.1,19.4,16.4,1016.17,944.18
87.098,115.8865,1239.3,W,S,2023-06-01 16:00:00,5.0,1.2,30.1,1052.14,914.79
16.8175,-12.6091,1839.3,W,S,2023-06-01 17:00:00,356.9,18.3,-49.0,1013.84,944.46
-87.2337,-56.6169,875.7,W,N,2023-06-01 12:00:00,140.7,4.5,46.0,982.22,1031.22
-59.6899,-122.8822,1808.3,E,N,2023-06-01 06:00:00,70.1,3.7,19.7,937.56,1025.81
-47.9056,162.1382,4349.3,E,N,2023-06-01 02:00:00,317.3,18.3,35.6,962.77,1010.85
25.2022,145.8839,3994.6,E,N,2023-06-01 11:00:00,180.4,10.7,23.7,955.41,936.58
21.726,75.5252,4254.6,W,S,2023-06-01 03:00:00,325.8,22.0,7.5,923.1,989.5
-60.8962,107.5932,290.3,E,N,2023-06-01 13:00:00,99.2,18.2,-46.2,1078.23,1083.41
-7.2063,-85.9266,4503.4,W,S,2023-06-01 23:00:00,261.8,17.3,-32.6,1063.99,979.46
-55.9852,86.9798,3476.9,W,N,2023-06-01 22:00:00,79.6,28.4,-12.9,1046.0,926.14
-29.2527,174.0168,3254.7,W,N,2023-06-01 11:00:00,254.4,20.9,22.9,934.49,1084.66
